2025-04-20 16:51:22,441 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\trebucbd.ttf', name='Trebuchet MS', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.05
2025-04-20 16:51:22,441 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\SCRIPTBL.TTF', name='Script MT Bold', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.05
2025-04-20 16:51:22,441 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\LTYPEBO.TTF', name='Lucida Sans Typewriter', style='oblique', variant='normal', weight=600, stretch='normal', size='scalable')) = 10.245
2025-04-20 16:51:22,442 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\PERI____.TTF', name='Perpetua', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.335
2025-04-20 16:51:22,442 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\GILI____.TTF', name='Gill Sans MT', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.335
2025-04-20 16:51:22,442 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\CHILLER.TTF', name='Chiller', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
2025-04-20 16:51:22,442 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\GOTHICB.TTF', name='Century Gothic', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.05
2025-04-20 16:51:22,442 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\timesbd.ttf', name='Times New Roman', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.05
2025-04-20 16:51:22,443 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\ebrima.ttf', name='Ebrima', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
2025-04-20 16:51:22,443 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\msyh.ttc', name='Microsoft YaHei', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
2025-04-20 16:51:22,443 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\BOOKOSBI.TTF', name='Bookman Old Style', style='italic', variant='normal', weight=600, stretch='normal', size='scalable')) = 10.145
2025-04-20 16:51:22,443 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\ROCKBI.TTF', name='Rockwell', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.05
2025-04-20 16:51:22,443 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\WINGDNG3.TTF', name='Wingdings 3', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
2025-04-20 16:51:22,444 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\mingliub.ttc', name='MingLiU-ExtB', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
2025-04-20 16:51:22,444 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\seguisb.ttf', name='Segoe UI', style='normal', variant='normal', weight=600, stretch='normal', size='scalable')) = 11.145
2025-04-20 16:51:22,444 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\TCM_____.TTF', name='Tw Cen MT', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
2025-04-20 16:51:22,444 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\PER_____.TTF', name='Perpetua', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
2025-04-20 16:51:22,444 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\CENTAUR.TTF', name='Centaur', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
2025-04-20 16:51:22,444 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\BOD_CBI.TTF', name='Bodoni MT', style='italic', variant='normal', weight=700, stretch='condensed', size='scalable')) = 10.25
